window,abc_class,service_level,lead_time,total_demand,stockout_units,stockout_days,days,average_inventory,maximum_inventory,service_level_actual,stockout_rate,inventory_turnover
test,A,0.9,3,50851.0,1913.0,351,18144,1309.095238095238,104.0,0.9703669151107329,0.019345238095238096,38.84438543523335
test,A,0.9,7,50851.0,1348.0,274,18144,2307.005291005291,206.0,0.973673913065578,0.015101410934744267,22.041995394748913
test,A,0.9,14,50851.0,1213.0,298,18144,3957.7248677248676,356.0,0.9733301620686573,0.01642416225749559,12.848543468670206
test,A,0.95,3,50851.0,1300.0,232,18144,1496.8941798941798,104.0,0.9796500660944267,0.012786596119929453,33.971005220686216
test,A,0.95,7,50851.0,923.0,173,18144,2591.3756613756614,203.0,0.9824921516184535,0.009534832451499118,19.623168017640932
test,A,0.95,14,50851.0,805.0,194,18144,4350.248677248677,358.0,0.9818466768176969,0.010692239858906525,11.689216817867251
test,A,0.99,3,50851.0,632.0,117,18144,1855.4550264550264,116.0,0.990378466155902,0.006448412698412698,27.406215335304736
test,A,0.99,7,50851.0,439.0,81,18144,3144.6296296296296,219.0,0.9920098273568322,0.004464285714285714,16.170743772451562
test,A,0.99,14,50851.0,393.0,107,18144,5102.624338624339,361.0,0.9907664897816152,0.00589726631393298,9.965656224206654
test,B,0.9,3,9167.0,168.0,108,17010,405.2063492063492,17.0,0.9838140614671413,0.006349206349206349,22.62304136634284
test,B,0.9,7,9167.0,176.0,110,17010,607.5608465608466,31.0,0.9830179559082175,0.006466784244562022,15.08820071584704
test,B,0.9,14,9167.0,170.0,100,17010,923.2698412698413,63.0,0.9832043930389128,0.005878894767783657,9.928841591307636
test,B,0.95,3,9167.0,108.0,67,17010,451.1375661375661,17.0,0.9897956222490646,0.00393885949441505,20.319744326511465
test,B,0.95,7,9167.0,117.0,68,17010,669.2910052910053,34.0,0.9884693314327304,0.003997648442092887,13.696583291171263
test,B,0.95,14,9167.0,108.0,64,17010,1010.8941798941798,63.0,0.9893927881095534,0.0037624926513815404,9.068209296604714
test,B,0.99,3,9167.0,53.0,35,17010,533.2910052910053,21.0,0.9955441393902125,0.00205761316872428,17.18948924517819
test,B,0.99,7,9167.0,59.0,32,17010,804.3544973544973,34.0,0.9946061578787828,0.0018812463256907702,11.396716286351408
test,B,0.99,14,9167.0,46.0,27,17010,1200.5079365079366,66.0,0.9955563575320162,0.0015873015873015873,7.635934525068754
test,C,0.9,3,7029.0,317.0,142,21546,374.6296296296296,16.0,0.973623295185758,0.006590550450199573,18.762530894710824
test,C,0.9,7,7029.0,348.0,183,21546,524.010582010582,39.0,0.9664469669788532,0.008493455861876914,13.413851249015531
test,C,0.9,14,7029.0,284.0,164,21546,781.8412698412699,59.0,0.9726479758998117,0.007611621646709366,8.990315900600942
test,C,0.95,3,7029.0,283.0,116,21546,402.97354497354496,18.0,0.9781151667026007,0.005383829945233454,17.442832383603374
test,C,0.95,7,7029.0,286.0,136,21546,565.6613756613757,39.0,0.9745775586801328,0.006312076487515084,12.426162192498362
test,C,0.95,14,7029.0,248.0,132,21546,840.2962962962963,65.0,0.9779679442238786,0.006126427179058758,8.364906558533145
test,C,0.99,3,7029.0,221.0,85,21546,461.978835978836,18.0,0.9835007479247724,0.003945047804696927,15.214982706095242
test,C,0.99,7,7029.0,225.0,104,21546,642.1851851851852,38.0,0.981575979217602,0.004826882019864476,10.945440913547493
test,C,0.99,14,7029.0,185.0,88,21546,952.5608465608466,66.0,0.9847573771289617,0.004084284786039172,7.379056178277437
validation,A,0.9,3,51752.0,1796.0,322,18048,1310.6808510638298,98.0,0.9726736703249336,0.01784131205673759,39.48482192136619
validation,A,0.9,7,51752.0,1208.0,252,18048,2284.93085106383,165.0,0.9805415122617949,0.013962765957446808,22.64926309516327
validation,A,0.9,14,51752.0,1167.0,253,18048,3863.1170212765956,329.0,0.9790559664945456,0.014018173758865249,13.396436016555919
validation,A,0.95,3,51752.0,1239.0,216,18048,1493.526595744681,92.0,0.9820185023479677,0.011968085106382979,34.65087273802189
validation,A,0.95,7,51752.0,736.0,156,18048,2582.3351063829787,207.0,0.9883163856421513,0.008643617021276596,20.040776223070413
validation,A,0.95,14,51752.0,745.0,168,18048,4251.005319148936,329.0,0.9868512524499268,0.009308510638297872,12.174061454799803
validation,A,0.99,3,51752.0,641.0,108,18048,1848.7021276595744,111.0,0.9914279972277895,0.005984042553191489,27.99369310269424
validation,A,0.99,7,51752.0,307.0,57,18048,3118.9521276595747,203.0,0.9954956965174769,0.0031582446808510636,16.592752271204013
validation,A,0.99,14,51752.0,388.0,75,18048,5062.75,330.0,0.993901187150362,0.004155585106382979,10.222112488272185
validation,B,0.9,3,9539.0,171.0,109,16920,406.2659574468085,21.0,0.9856174071992574,0.006442080378250591,23.47969310534447
validation,B,0.9,7,9539.0,161.0,102,16920,613.5585106382979,42.0,0.9880017054364809,0.006028368794326241,15.547009510268836
validation,B,0.9,14,9539.0,195.0,104,16920,936.936170212766,93.0,0.9856557234167158,0.006146572104018913,10.181056408393133
validation,B,0.95,3,9539.0,91.0,59,16920,450.9468085106383,22.0,0.9918117085548425,0.003486997635933806,21.15327089575126
validation,B,0.95,7,9539.0,92.0,61,16920,677.2074468085107,42.0,0.9933863206204251,0.0036052009456264775,14.085787220673133
validation,B,0.95,14,9539.0,112.0,61,16920,1032.840425531915,94.0,0.9925833870410586,0.0036052009456264775,9.235695819213696
validation,B,0.99,3,9539.0,44.0,28,16920,532.5691489361702,22.0,0.9961442714281301,0.0016548463356973995,17.9112891143893
validation,B,0.99,7,9539.0,38.0,24,16920,804.1010638297872,42.0,0.9976327157039176,0.0014184397163120568,11.862936674362146
validation,B,0.99,14,9539.0,44.0,22,16920,1211.9468085106382,97.0,0.9972552441806362,0.0013002364066193853,7.8708074752244945
validation,C,0.9,3,5829.0,174.0,94,21432,355.8563829787234,12.0,0.9823752086851377,0.0043859649122807015,16.38020358440083
validation,C,0.9,7,5829.0,212.0,140,21432,472.27659574468083,22.0,0.9748955881888669,0.006532288167226577,12.342343559940533
validation,C,0.9,14,5829.0,237.0,163,21432,675.7234042553191,38.0,0.9710093783935757,0.007605449794699515,8.626310652098619
validation,C,0.95,3,5829.0,127.0,69,21432,385.27127659574467,15.0,0.9878471451522179,0.003219484882418813,15.129599204760392
validation,C,0.95,7,5829.0,149.0,95,21432,520.3882978723404,28.0,0.9818902509973721,0.004432624113475178,11.201251111588114
validation,C,0.95,14,5829.0,173.0,119,21432,740.8723404255319,44.0,0.980117753522872,0.005552444942142591,7.867752218488843
validation,C,0.99,3,5829.0,94.0,48,21432,445.3031914893617,15.0,0.9918553413939961,0.0022396416573348264,13.089957834131658
validation,C,0.99,7,5829.0,80.0,52,21432,596.7553191489361,27.0,0.9916565533660404,0.0024262784621127288,9.7678224440681
validation,C,0.99,14,5829.0,92.0,62,21432,845.6914893617021,54.0,0.9896805946490173,0.0028928704740574843,6.892584439272911
