id,total_demand,demand_percentage,cumulative_demand_percentage,abc_class
HOBBIES_1_001_CA_1_validation,344.0,0.0007572088928021132,0.9690843055249833,C
HOBBIES_1_001_CA_2_validation,313.0,0.0006889720449042483,0.9740810037420204,C
HOBBIES_1_001_CA_3_validation,438.0,0.0009641206251375743,0.9523420647149458,C
HOBBIES_1_002_CA_1_validation,363.0,0.0007990314769975787,0.9644331939247192,C
HOBBIES_1_002_CA_2_validation,283.0,0.00062293638564825,0.9760246533127886,C
HOBBIES_1_002_CA_3_validation,383.0,0.0008430552498349109,0.9611644287915472,C
HOBBIES_1_003_CA_1_validation,92.0,0.00020250935505172792,0.9973299581774157,C
HOBBIES_1_003_CA_2_validation,38.0,8.36451683909311e-05,0.9997820823244548,C
HOBBIES_1_003_CA_3_validation,3.0,6.6035659255998236e-06,0.9999999999999996,C
HOBBIES_1_004_CA_1_validation,2539.0,0.005588817961699318,0.593414043583535,A
HOBBIES_1_004_CA_2_validation,6082.0,0.01338762931983271,0.4290887079022672,A
HOBBIES_1_004_CA_3_validation,8019.0,0.01765133171912833,0.29447941888619855,A
HOBBIES_1_005_CA_1_validation,1421.0,0.00312788906009245,0.7393000220118865,A
HOBBIES_1_005_CA_2_validation,1562.0,0.0034382566585956418,0.7132973805855162,A
HOBBIES_1_005_CA_3_validation,1995.0,0.004391371340523883,0.6577481840193704,A
HOBBIES_1_006_CA_1_validation,1420.0,0.0031256878714505834,0.7424257098833371,A
HOBBIES_1_006_CA_2_validation,1035.0,0.0022782302443319392,0.8221373541712522,B
HOBBIES_1_006_CA_3_validation,2283.0,0.005025313669381466,0.6248646268985251,A
HOBBIES_1_007_CA_1_validation,316.0,0.0006955756108298481,0.9733920316971162,C
HOBBIES_1_007_CA_2_validation,179.0,0.0003940127668941228,0.9872969403477876,C
HOBBIES_1_007_CA_3_validation,202.0,0.0004446401056570548,0.984402377283733,C
HOBBIES_1_008_CA_1_validation,10093.0,0.022216596962359673,0.17847457627118643,A
HOBBIES_1_008_CA_2_validation,6288.0,0.013841074180057231,0.38848778340303763,A
HOBBIES_1_008_CA_3_validation,13309.0,0.029295619634602685,0.06024433193924719,A
HOBBIES_1_009_CA_1_validation,2115.0,0.004655513977547876,0.6444309927360774,A
HOBBIES_1_009_CA_2_validation,1111.0,0.0024455205811138012,0.8127228703499888,B
HOBBIES_1_009_CA_3_validation,1629.0,0.0035857362976007045,0.6958243451463791,A
HOBBIES_1_010_CA_1_validation,1140.0,0.002509355051727933,0.810277349768875,B
HOBBIES_1_010_CA_2_validation,745.0,0.001639885538190623,0.8910125467752585,B
HOBBIES_1_010_CA_3_validation,1203.0,0.0026480299361655293,0.8000748404138234,B
HOBBIES_1_011_CA_1_validation,101.0,0.0002223200528285274,0.9962755888179614,C
HOBBIES_1_011_CA_2_validation,73.0,0.0001606867708562624,0.9983799251595858,C
HOBBIES_1_011_CA_3_validation,156.0,0.00034338542813119085,0.9902399295619633,C
HOBBIES_1_012_CA_1_validation,653.0,0.001437376183138895,0.9153400836451682,B
HOBBIES_1_012_CA_2_validation,861.0,0.0018952234206471494,0.8606823684789785,B
HOBBIES_1_012_CA_3_validation,979.0,0.0021549636803874094,0.8309443099273605,B
HOBBIES_1_013_CA_1_validation,361.0,0.0007946290997138455,0.965227823024433,C
HOBBIES_1_013_CA_2_validation,387.0,0.0008518600044023773,0.9586308606647588,C
HOBBIES_1_013_CA_3_validation,389.0,0.0008562623816861104,0.9577790006603564,C
HOBBIES_1_014_CA_1_validation,1717.0,0.003779440898084966,0.6846951353731016,A
HOBBIES_1_014_CA_2_validation,1225.0,0.002696456086286595,0.7920757208892801,A
HOBBIES_1_014_CA_3_validation,4194.0,0.009231785163988555,0.5396257979308826,A
HOBBIES_1_015_CA_1_validation,9919.0,0.021833590138674884,0.20030816640986132,A
HOBBIES_1_015_CA_2_validation,10978.0,0.02416464891041162,0.109471714725952,A
HOBBIES_1_015_CA_3_validation,14060.0,0.030948712304644507,0.030948712304644507,A
HOBBIES_1_016_CA_1_validation,8067.0,0.017756988773937925,0.27682808716707025,A
HOBBIES_1_016_CA_2_validation,7106.0,0.015641646489104117,0.3605392912172573,A
HOBBIES_1_016_CA_3_validation,10390.0,0.02287034998899406,0.15625797930882676,A
HOBBIES_1_017_CA_1_validation,1616.0,0.0035571208452564386,0.6993814659916355,A
HOBBIES_1_017_CA_2_validation,784.0,0.0017257318952234207,0.8843055249834909,B
HOBBIES_1_017_CA_3_validation,1290.0,0.002839533348007924,0.7782742681047766,A
HOBBIES_1_018_CA_1_validation,52.0,0.00011446180937706361,0.9995047325555797,C
HOBBIES_1_018_CA_2_validation,64.0,0.0001408760730794629,0.999119524543253,C
HOBBIES_1_018_CA_3_validation,121.0,0.00026634382566585957,0.9935835351089586,C
HOBBIES_1_019_CA_1_validation,6409.0,0.01410741800572309,0.3746467092229804,A
HOBBIES_1_019_CA_2_validation,4542.0,0.009997798811358134,0.530394012766894,A
HOBBIES_1_019_CA_3_validation,11386.0,0.025062733876293198,0.08530706581554039,A
HOBBIES_1_020_CA_1_validation,503.0,0.001107197886858904,0.9430156284393569,B
HOBBIES_1_020_CA_2_validation,410.0,0.0009024873431653093,0.9560246533127886,C
HOBBIES_1_020_CA_3_validation,348.0,0.0007660136473695796,0.9675676865507372,C
HOBBIES_1_021_CA_1_validation,954.0,0.002099933964340744,0.8330442438917012,B
HOBBIES_1_021_CA_2_validation,569.0,0.0012524763372220998,0.9312414703940126,B
HOBBIES_1_021_CA_3_validation,867.0,0.0019084305524983492,0.8549746863306183,B
HOBBIES_1_022_CA_1_validation,528.0,0.001162227602905569,0.9384833810257537,B
HOBBIES_1_022_CA_2_validation,865.0,0.001904028175214616,0.8587871450583313,B
HOBBIES_1_022_CA_3_validation,825.0,0.0018159806295399517,0.8755535989434293,B
HOBBIES_1_023_CA_1_validation,1712.0,0.0037684349548756328,0.6922386088487784,A
HOBBIES_1_023_CA_2_validation,1223.0,0.0026920537090028614,0.794767774598283,A
HOBBIES_1_023_CA_3_validation,2252.0,0.004957076821483601,0.6348338102575389,A
HOBBIES_1_024_CA_1_validation,384.0,0.0008452564384767774,0.9594761171032355,C
HOBBIES_1_024_CA_2_validation,313.0,0.0006889720449042483,0.9747699757869247,C
HOBBIES_1_024_CA_3_validation,255.0,0.000561303103675985,0.9801210653753023,C
HOBBIES_1_025_CA_1_validation,672.0,0.0014791987673343605,0.9080387409200967,B
HOBBIES_1_025_CA_2_validation,696.0,0.0015320272947391591,0.9005436935945409,B
HOBBIES_1_025_CA_3_validation,1013.0,0.002229804094210874,0.8266079683028833,B
HOBBIES_1_026_CA_1_validation,4.0,8.804754567466431e-06,0.9999933964340739,C
HOBBIES_1_026_CA_2_validation,141.0,0.0003103675985031917,0.9918269865727491,C
HOBBIES_1_026_CA_3_validation,287.0,0.0006317411402157164,0.9754017169271404,C
HOBBIES_1_027_CA_1_validation,174.0,0.0003830068236847898,0.9880739599383664,C
HOBBIES_1_027_CA_2_validation,117.0,0.0002575390710983931,0.9943671582654631,C
HOBBIES_1_027_CA_3_validation,67.0,0.00014747963900506273,0.9988355712084522,C
HOBBIES_1_028_CA_1_validation,1103.0,0.0024279110719788687,0.8151507814219676,B
HOBBIES_1_028_CA_2_validation,724.0,0.0015936605767114243,0.8958815760510674,B
HOBBIES_1_028_CA_3_validation,947.0,0.0020845256438476777,0.8351287695355488,B
HOBBIES_1_029_CA_1_validation,2037.0,0.00448382126348228,0.6489148139995596,A
HOBBIES_1_029_CA_2_validation,1484.0,0.0032665639445300463,0.726601364736958,A
HOBBIES_1_029_CA_3_validation,1740.0,0.003830068236847898,0.6733105877173674,A
HOBBIES_1_030_CA_1_validation,3446.0,0.007585296059872331,0.547211093990755,A
HOBBIES_1_030_CA_2_validation,1722.0,0.003790446841294299,0.6809156944750165,A
HOBBIES_1_030_CA_3_validation,3086.0,0.006792868148800352,0.5677635923398634,A
HOBBIES_1_031_CA_1_validation,569.0,0.0012524763372220998,0.9324939467312348,B
HOBBIES_1_031_CA_2_validation,562.0,0.0012370680167290338,0.9337310147479638,B
HOBBIES_1_031_CA_3_validation,845.0,0.0018600044023772838,0.8700726392251815,B
HOBBIES_1_032_CA_1_validation,8595.0,0.018919216376843496,0.2590710983931323,A
HOBBIES_1_032_CA_2_validation,5533.0,0.012179176755447942,0.4541536429672023,A
HOBBIES_1_032_CA_3_validation,5391.0,0.011866607968302884,0.46602025093550514,A
HOBBIES_1_033_CA_1_validation,210.0,0.0004622496147919877,0.9830376403257757,C
HOBBIES_1_033_CA_2_validation,130.0,0.00028615452344265906,0.9930310367598502,C
HOBBIES_1_033_CA_3_validation,230.0,0.0005062733876293198,0.9811578252256214,C
HOBBIES_1_034_CA_1_validation,665.0,0.0014637904468412944,0.9139027074620293,B
HOBBIES_1_034_CA_2_validation,614.0,0.0013515298261060973,0.9208914813999558,B
HOBBIES_1_034_CA_3_validation,1177.0,0.0025907990314769976,0.8026656394453003,B
HOBBIES_1_035_CA_1_validation,215.0,0.0004732555580013207,0.9816310807836228,C
HOBBIES_1_035_CA_2_validation,193.0,0.00042482940788025534,0.9852718467972703,C
HOBBIES_1_035_CA_3_validation,268.0,0.0005899185560202509,0.977849438696896,C
HOBBIES_1_036_CA_1_validation,884.0,0.0019458507594100815,0.85306625577812,B
HOBBIES_1_036_CA_2_validation,745.0,0.001639885538190623,0.8926524323134492,B
HOBBIES_1_036_CA_3_validation,1445.0,0.0031807175874972483,0.7329958177415805,A
HOBBIES_1_037_CA_1_validation,1169.0,0.0025731895223420646,0.8052388289676424,B
HOBBIES_1_037_CA_2_validation,427.0,0.0009399075500770416,0.9532819722650228,C
HOBBIES_1_037_CA_3_validation,1367.0,0.0030090248734316533,0.7606867708562625,A
HOBBIES_1_038_CA_1_validation,581.0,0.0012788906009244992,0.9287211093990753,B
HOBBIES_1_038_CA_2_validation,384.0,0.0008452564384767774,0.9603213735417123,C
HOBBIES_1_038_CA_3_validation,592.0,0.001303103675985032,0.9248624257098832,B
HOBBIES_1_039_CA_1_validation,144.0,0.00031697116442879153,0.990887079022672,C
HOBBIES_1_039_CA_2_validation,100.0,0.00022011886418666079,0.9964957076821481,C
HOBBIES_1_039_CA_3_validation,114.0,0.0002509355051727933,0.995128769535549,C
HOBBIES_1_040_CA_1_validation,867.0,0.0019084305524983492,0.8568831168831167,B
HOBBIES_1_040_CA_2_validation,743.0,0.0016354831609068897,0.894287915474356,B
HOBBIES_1_040_CA_3_validation,1766.0,0.0038872991415364296,0.6655954215276249,A
HOBBIES_1_041_CA_1_validation,498.0,0.0010961919436495709,0.9441118203830065,B
