window,service_level,lead_time,total_demand,stockout_units,stockout_days,days,average_inventory,maximum_inventory,service_level_actual,inventory_turnover,stockout_rate,service_level_actual_weighted,safety_stock_mean
test,0.9,3,67047.0,2398.0,601,56700,2088.931216931217,104.0,0.9756384834461648,32.09631770379526,0.0105996472663139,0.9642340447745612,3.7066666666666666
test,0.9,7,67047.0,1872.0,567,56700,3438.57671957672,206.0,0.9737308864054144,19.498474359546446,0.01,0.9720792876638776,5.406666666666666
test,0.9,14,67047.0,1667.0,562,56700,5662.8359788359785,356.0,0.9760332006155727,11.839827296884168,0.0099118165784832,0.97513684430325,7.443333333333333
test,0.95,3,67047.0,1691.0,415,56700,2351.005291005291,104.0,0.9821104711719242,28.51843858306702,0.0073192239858906,0.9747788864527868,4.616666666666666
test,0.95,7,67047.0,1326.0,377,56700,3826.3280423280426,203.0,0.9812777602461746,17.522543613173003,0.0066490299823633,0.9802228287619132,6.79
test,0.95,14,67047.0,1161.0,390,56700,6201.439153439153,358.0,0.982636591819603,10.811522670962194,0.0068783068783068,0.9826837889838472,9.4
test,0.99,3,67047.0,906.0,237,56700,2850.724867724868,116.0,0.9893146351983658,23.519281274418272,0.0041798941798941,0.9864870911450176,6.326666666666667
test,0.99,7,67047.0,723.0,217,56700,4591.169312169312,219.0,0.98882386422051,14.603469277921382,0.0038271604938271,0.9892165197547989,9.4
test,0.99,14,67047.0,624.0,222,56700,7255.693121693122,361.0,0.9899199872987272,9.240605807809375,0.0039153439153439,0.9906930958879592,13.07
validation,0.9,3,67120.0,2141.0,525,56400,2072.803191489362,98.0,0.9802433759641084,32.381270096256735,0.0093085106382978,0.9681019070321812,3.7066666666666666
validation,0.9,7,67120.0,1581.0,494,56400,3370.7659574468084,165.0,0.980634119066488,19.912388118111927,0.0087588652482269,0.9764451728247914,5.406666666666666
validation,0.9,14,67120.0,1599.0,520,56400,5475.776595744681,329.0,0.9779781900928282,12.257622060797749,0.0092198581560283,0.9761769964243148,7.443333333333333
validation,0.95,3,67120.0,1457.0,344,56400,2329.744680851064,92.0,0.9871713484756452,28.810023927377667,0.0060992907801418,0.978292610250298,4.616666666666666
validation,0.95,7,67120.0,977.0,312,56400,3779.93085106383,207.0,0.9873954349706172,17.75693859085005,0.005531914893617,0.9854439809296782,6.79
validation,0.95,14,67120.0,1030.0,348,56400,6024.718085106383,329.0,0.9860121632349856,11.140770248806556,0.0061702127659574,0.9846543504171632,9.4
validation,0.99,3,67120.0,779.0,184,56400,2826.574468085106,111.0,0.99300527027105,23.746057554065143,0.0032624113475177,0.9883939213349224,6.326666666666667
validation,0.99,7,67120.0,425.0,133,56400,4519.808510638298,203.0,0.9946779278758632,14.850186648841271,0.0023581560283687,0.9936680572109654,9.4
validation,0.99,14,67120.0,524.0,159,56400,7120.38829787234,330.0,0.9933035791089332,9.426452209081951,0.0028191489361702,0.9921930870083432,13.07
